S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
261,2024-05-29,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1228.0000,1252.5000,1220.3000,,946,1164948.0000,1228.0000,1544.0000,579.0000,2024-05-29T12:12:04.107769,1220.3000,18,1231.44,
262,2024-05-29,8125,NSIF2,NMB Sulav Investment Fund - 2,9.3400,9.5200,9.3400,,825,7723.5000,9.5300,9.9900,7.9100,2024-05-29T11:58:47.066885,9.5200,4,9.36,
263,2024-05-29,8126,SIKLES,Sikles Hydropower Limited,516.1000,536.9000,516.1000,,1219,638439.0000,516.1000,578.0000,315.0000,2024-05-29T12:22:19.106462,516.5000,19,523.73,
264,2024-05-29,8132,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,1770.0000,1839.0000,1749.3000,,715,1274758.0000,1770.0000,1930.0000,777.0000,2024-05-29T12:03:49.333500,1755.0000,18,1782.87,
265,2024-05-29,9139,SAGF,Sanima Growth Fund,9.0000,9.0000,8.8200,,1100,9882.0000,8.8900,9.9900,7.3100,2024-05-29T11:43:24.880062,8.8200,4,8.98,
266,2024-05-29,9147,SPL,Shuvam Power Limited,714.0000,728.0000,696.3000,,930,657477.0000,700.0000,1073.3000,528.4000,2024-05-29T12:18:39.041089,701.0000,24,706.96,
267,2024-05-29,9148,SMH,Super Mai Hydropower Limited,697.6000,710.0000,690.0000,,1095,771480.0000,684.0000,785.0000,485.0000,2024-05-29T12:11:39.227608,690.0000,26,704.54,
268,2024-05-29,9158,MHCL,Molung Hydropower Company Limited,396.0000,396.0000,389.0000,,4662,1828080.7000,389.0000,637.0000,158.3000,2024-05-29T12:20:58.975500,389.0000,44,392.12,
269,2024-05-29,9159,SMJC,Sagarmatha Jalabidhyut Company Limited,375.0000,381.9000,367.1000,,8915,3312981.0000,370.0000,449.0000,215.0000,2024-05-29T12:21:36.894984,375.4000,88,371.61,
270,2024-05-29,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,368.0000,385.0000,363.0000,,14095,5280410.5000,374.9000,454.0000,213.1000,2024-05-29T12:20:51.347725,384.0000,107,374.63,
271,2024-05-29,9171,BEDC,Bhugol Energy Development Company Limited,383.0000,385.0000,376.0000,,6195,2372059.0000,375.5000,412.9000,170.0000,2024-05-29T12:22:25.481955,382.1000,72,382.89,
272,2024-05-29,9173,CITY,City Hotel Limited,669.1000,692.0000,659.0000,,22441,15157204.7000,656.0000,782.5000,111.1000,2024-05-29T12:23:04.767512,690.3000,260,675.42,
273,2024-05-29,9176,IHL,Ingwa Hydropower Limited,400.0000,407.0000,393.0000,,6165,2475187.5000,395.9000,429.0000,200.2000,2024-05-29T12:22:37.417319,402.1000,63,401.49,
274,2024-05-29,9179,MEL,Modi Energy Limited,227.0000,231.5000,227.0000,,11610,2653482.0000,227.0000,275.4000,149.0000,2024-05-29T12:22:58.028280,230.0000,122,228.55,
275,2024-05-29,9181,RAWA,Rawa Energy Development Limited,507.0000,507.0000,496.0000,,5980,2984452.4000,497.8000,552.0000,249.3000,2024-05-29T12:19:42.072606,500.0000,35,499.07,
276,2024-05-29,9182,SIGS3,Siddhartha Investment Growth Scheme 3,9.0000,9.2000,9.0000,,18010,164204.2000,9.0200,10.0000,7.8600,2024-05-29T11:58:05.880355,9.0400,9,9.11,
277,2024-05-29,9191,C30MF,Citizens Super 30 Mutual Fund,9.0000,9.0000,9.0000,,200,1800.0000,9.1800,10.0000,7.6100,2024-05-29T11:45:31.023166,9.0000,2,9.00,
278,2024-05-29,9193,GCIL,Ghorahi Cement Industry Limited,514.0000,514.0000,496.5000,,27049,13561337.5000,504.0000,614.0000,363.1000,2024-05-29T12:22:24.647347,501.9000,231,501.36,
279,2024-05-29,9194,TSHL,Three Star Hydropower Limited,515.1000,521.0000,511.1000,,2190,1135483.5000,514.4000,655.0000,227.7000,2024-05-29T12:19:18.265197,520.0000,28,518.48,
280,2024-05-29,9196,KBSH,Kutheli Bukhari Small Hydropower Limited,1150.0000,1150.0000,1025.0000,,60,64788.0000,1130.0000,1210.0000,479.0000,2024-05-29T12:18:51.650784,1025.0000,6,1079.80,
281,2024-05-29,9208,ULHC,Upper Lohore Khola Hydropower Company Limited,336.6000,363.0000,331.0000,,136743,49084065.0000,330.0000,384.0000,217.1000,2024-05-29T12:22:09.694409,363.0000,424,358.95,
282,2024-05-29,9212,MANDU,Mandu Hydropower Limited,863.0000,880.0000,860.0000,,3450,2976280.0000,848.0000,1070.0000,373.2000,2024-05-29T12:16:53.241059,874.0000,46,862.68,
283,2024-05-29,9214,BGWT,Bhagawati Hydropower Development Company Limited,704.0000,759.2000,700.0000,,42848,31433394.0000,690.2000,776.0000,352.0000,2024-05-29T12:23:06.692276,755.0000,294,733.60,
284,2024-05-29,9216,SONA,Sonapur Minerals And Oil Limited,470.2000,479.0000,461.0000,,57062,26534198.6000,461.0000,575.0000,230.0000,2024-05-29T12:21:59.691866,461.5000,385,465.00,
285,2024-05-29,9232,CKHL,Chirkhwa Hydropower Limited ,556.0000,561.0000,542.1000,,3865,2119401.0000,553.0000,686.8000,300.0000,2024-05-29T12:14:54.437074,544.0000,56,548.35,
286,2024-05-29,9233,NWCL,Nepal Warehousing Company Limited ,807.8000,871.2000,800.0000,,64882,55084765.1000,792.0000,996.0000,208.8000,2024-05-29T12:23:01.932760,865.0000,792,848.99,
287,2024-05-29,9234,HRL,Himalayan Reinsurance Limited,588.0000,596.0000,585.0000,,19104,11256161.7000,585.1000,731.0000,309.2000,2024-05-29T12:22:51.262663,589.0000,471,589.20,
288,2024-05-29,9243,NIMBD90,10% NIMB Debenture 2090,1055.0000,1055.0000,1045.0000,,30,31370.0000,1055.0000,1081.0000,999.6000,2024-05-29T12:05:36.013428,1045.0000,2,1045.66,
