S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
160,2024-05-29,9183,NRM,Nepal Republic Media Limited,394.6000,400.0000,384.0000,,32883,12964073.9000,386.9000,492.5000,205.9000,2024-05-29T12:22:38.894131,395.0000,265,394.24,
161,2024-05-29,9184,ILI,IME Life Insurance Company Limited,466.0000,466.1000,456.0000,,14994,6890436.1000,457.0000,640.6000,444.0000,2024-05-29T12:21:38.556354,457.2000,218,459.54,
162,2024-05-29,9192,USHL,Upper Syange Hydropower Limited,479.1000,505.8000,478.0000,,4075,1995919.0000,487.5000,597.0000,253.6000,2024-05-29T12:19:13.026055,499.0000,51,489.79,
163,2024-05-29,9198,LVF2,Laxmi Value Fund 2,8.3900,8.4100,8.3900,,700,5879.0000,8.5600,10.0000,7.0900,2024-05-29T11:58:30.602087,8.4100,4,8.39,
164,2024-05-29,9199,RNLI,Reliable Nepal Life Insurance Limited,445.5000,446.0000,432.1000,,7027,3071709.0000,437.8000,612.0000,390.0000,2024-05-29T12:22:43.802056,434.2000,209,437.12,
165,2024-05-29,9201,SNLI,Sun Nepal Life Insurance Company Limited,479.1000,479.1000,468.1000,,29040,13738505.5000,476.1000,645.0000,396.1000,2024-05-29T12:23:01.466662,472.0000,152,473.08,
166,2024-05-29,9203,MEHL,Manakamana Engineering Hydropower Limited,316.0000,339.5000,310.0000,,30851,10102766.6000,315.0000,339.6000,175.0000,2024-05-29T12:22:52.572177,335.0000,224,327.46,
167,2024-05-29,9209,CLI,Citizen Life Insurance Company Limited,489.7000,489.7000,475.0000,,24322,11662175.2000,480.1000,567.0000,375.0000,2024-05-29T12:22:14.149152,479.9000,230,479.49,
168,2024-05-29,9211,SBID89,9% Nepal SBI Bank Rinpatra 2089,987.0000,987.0000,987.0000,,25,24675.0000,1000.0000,1030.0000,838.0000,2024-05-29T11:42:18.988300,987.0000,1,987.00,
169,2024-05-29,9213,HATHY,Hathway Investment Nepal Limited,915.0000,929.0000,905.0000,,36683,33693695.6000,908.0000,1123.0000,279.5000,2024-05-29T12:22:23.353390,915.1000,281,918.50,
170,2024-05-29,9215,MSHL,Mid Solu Hydropower Limited,652.0000,652.0000,633.0000,,290,185760.0000,640.0000,832.5000,294.2000,2024-05-29T12:16:23.966304,633.0000,13,640.55,
171,2024-05-29,9217,MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,443.0000,443.2000,414.0000,,5845,2484391.0000,434.6000,478.0000,225.0000,2024-05-29T12:18:33.030390,438.0000,59,425.04,
172,2024-05-29,9218,TVCL,Trishuli Jal Vidhyut Company Limited ,455.0000,464.1000,447.0000,,1871,858281.5000,446.2000,660.0000,268.0000,2024-05-29T12:22:38.773579,456.0000,43,458.72,
173,2024-05-29,9221,H8020,Himalayan 80-20,8.9700,9.0600,8.9700,,1300,11743.0000,9.1500,10.1000,8.3000,2024-05-29T12:16:15.221408,9.0600,5,9.03,
174,2024-05-29,9225,VLUCL,Vision Lumbini Urja Company Limited ,484.0000,505.0000,484.0000,,34145,16983715.3000,484.0000,608.0000,365.3000,2024-05-29T12:19:01.464136,494.9000,164,497.39,
175,2024-05-29,9230,MKCL,Muktinath Krishi Company Limited,974.2000,1050.6000,974.2000,,52806,54717773.4000,955.1000,1319.5000,178.8000,2024-05-29T12:23:07.276172,1046.0000,871,1036.20,
176,2024-05-29,9236,NICGF2,NIC ASIA Growth Fund-2,8.1600,8.2900,8.1600,,16740,137424.3500,8.1600,10.0000,7.3200,2024-05-29T12:10:11.699475,8.2200,9,8.20,
177,2024-05-29,9241,KSY,Kumari Sabal Yojana,8.5000,8.5000,8.5000,,400,3400.0000,8.6700,10.0000,7.8800,2024-05-29T11:46:27.142463,8.5000,3,8.50,
178,2024-05-29,9242,SARBTM,Sarbottam Cement Limited,834.3000,847.0000,820.0000,,16587,13797987.3000,818.0000,1083.0000,556.0000,2024-05-29T12:21:27.197723,839.0000,181,831.85,
179,2024-05-29,358,LBBL,Lumbini Bikas Bank Ltd.,392.0000,392.0000,384.0000,,4292,1658758.4000,387.9000,454.0000,320.0000,2024-05-29T12:22:19.133073,385.0000,23,386.47,
180,2024-05-29,371,MDB,Miteri Development Bank Limited,496.7000,496.7000,485.2000,,5825,2835694.4000,487.0000,503.5000,359.1000,2024-05-29T12:08:41.588705,485.4000,20,486.81,
181,2024-05-29,393,HLI,Himalayan Life Insurance Limited,410.0000,410.0000,398.0000,,24636,9912207.7000,402.0000,574.0000,340.0000,2024-05-29T12:22:51.592773,401.9000,148,402.34,
182,2024-05-29,396,NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,757.0000,757.0000,734.0000,,10970,8104692.2000,746.0000,860.5000,480.0000,2024-05-29T12:22:01.457585,735.2000,140,738.80,
183,2024-05-29,397,ADBL,Agricultural Development Bank Limited,282.5000,292.9000,275.2000,,16109,4495936.4000,277.0000,287.6000,220.5000,2024-05-29T12:15:43.435437,276.6000,103,279.09,
184,2024-05-29,401,MLBL,Mahalaxmi Bikas Bank Ltd.,336.0000,337.0000,330.0000,,10353,3441758.0000,331.0000,379.0000,281.0000,2024-05-29T12:20:56.198776,332.0000,29,332.44,
185,2024-05-29,417,GBBL,Garima Bikas Bank Limited,377.2000,377.2000,365.0000,,5755,2111635.8000,369.9000,432.4000,340.0000,2024-05-29T12:20:19.758679,370.0000,55,366.92,
186,2024-05-29,418,JBBL,Jyoti Bikas Bank Limited,296.0000,299.4000,295.2000,,14174,4220178.0000,295.8000,357.0000,254.0000,2024-05-29T12:16:23.989273,297.0000,48,297.74,
187,2024-05-29,459,KSBBL,Kamana Sewa Bikas Bank Limited,389.0000,389.0000,383.0000,,13583,5219228.3000,383.0000,395.0000,279.0000,2024-05-29T12:22:49.105765,385.0000,89,384.24,
188,2024-05-29,471,MPFL,Multipurpose Finance Company  Limited,452.8000,452.8000,445.1000,,20953,9419187.3000,444.0000,490.0000,261.0000,2024-05-29T12:23:04.429542,451.9000,78,449.53,
189,2024-05-29,473,SHINE,Shine Resunga Development Bank Ltd.,405.9000,407.0000,397.1000,,125135,49973963.1000,398.0000,435.0000,316.6000,2024-05-29T12:22:45.157874,399.4000,109,399.36,
190,2024-05-29,516,MFIL,Manjushree Finance Ltd.,515.0000,516.5000,504.0000,,8320,4210534.2000,506.5000,587.0000,415.0000,2024-05-29T12:22:28.161566,509.5000,63,506.07,
191,2024-05-29,517,NBL,Nepal Bank Limited,230.0000,230.4000,224.0000,,6778,1534148.5000,226.0000,280.0000,195.1000,2024-05-29T12:19:58.741372,224.0000,55,226.34,
192,2024-05-29,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,780.0000,780.0000,760.3000,,5435,4171320.7000,765.0000,810.0000,534.1000,2024-05-29T12:22:33.081647,762.0000,33,767.49,
193,2024-05-29,559,NLG,NLG Insurance Company Ltd.,768.0000,783.3000,768.0000,,522,401865.0000,768.0000,940.0000,597.2000,2024-05-29T12:14:58.465705,772.0000,11,769.85,
194,2024-05-29,574,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,846.6000,846.6000,825.0000,,3782,3131302.3000,830.0000,1060.0000,790.0000,2024-05-29T12:22:51.691956,830.0000,41,827.94,
